Albero,Value
Platano,11
Leccio,7
Platano orientale,7
Olivo,7
Faggio,6
Cipresso,5
Cerro,5
Tiglio,5
Roverella,4
Pino domestico,4
Cedro del Libano,3
Tasso,3
Rovere,3
Gelso,3
Cipresso comune,3
Castagno,2
Canfora,2
Podocarpo,2
Palma delle Canarie,2
Magnolia,2
Ginkgo,2
Frassino,2
Eucalipto,2
Albero della canfora,2
Tiglio intermedio,2
Tiglio selvatico,2
Pino di Aleppo,2
Sughera,1
Sofora,1
Quercia,1
Platano occidentale,1
Platanus orientalis,1
Olea europaea,1
Frassino maggiore,1
Eucalitto rostrato,1
Casuarina,1
Cerza,1
Cedro dell'Himalaya,1
Cedro,1
Cinnamomun camphora,1
Ciliegio selvatico,1
Glicine,1
Ficus magnolioide,1
Betula,1
Albero dei tulipani,1
Albero del tulipano,1
Albero della canfora,1
Araucaria del Cile,1
Alloro,1
Yucca,1
Tipuana,1
